"","x"
"375.19265_361.9",2900
"375.24766_345",2900
"375.25091_611.7",2896
"375.25324_579",2895
"375.84283_956.7",1879
"375.89485_947",53
"376.19965_366.2",2898
"376.22514_425.6",2898
"376.79159_32",2898
"376.8903_947",2869
"377.1612_431",2897
"377.16039_281.9",2898
"377.26903_507",2891
"377.84341_950.6",57
"377.89012_946.4",27
"378.00702_951.2",1232
"378.16341_281.9",2903
"378.24091_455.8",2897
"378.77825_954.9",26
"378.88756_947",100
"378.91718_948.8",2846
"378.91774_21.8",2882
"379.15569_446.8",166
"379.15758_571.7",2899
"379.2445_455.8",155
"379.78264_955.5",75
"379.83957_950.6",26
"379.93551_952.4",57
"380.01915_283.1",2897
"380.15908_446.8",56
"380.16192_571.7",2904
"380.25593_469",2897
"380.8443_949.4",68
"380.97628_342.5",1186
"381.15503_345",2901
"381.17328_599",2900
"381.23103_482.3",2898
"381.33626_659.6",2898
"381.85811_953.1",171
"381.97932_342.5",37
"382.15862_345",2900
"382.23415_482.3",2897
"383.09565_954.3",27
"383.14202_468",2905
"383.15302_254",2899
"383.17474_555.3",2892
"383.29011_500.9",2892
"383.98157_349.2",2903
"384.05374_956.1",2814
"384.15622_254",2898
"384.93456_939.7",48
"384.93482_21.8",2895
"385.16865_240.7",2902
"385.19035_588.1",2904
"385.23803_346.2",2898
"385.25895_486.5",2894
"385.33171_568.7",2893
"385.93824_21.8",2894
"385.93821_939.7",43
"385.95225_951.8",44
"385.98382_352.8",2897
"386.17179_240.7",2895
"386.86159_944.6",56
"386.99968_292.2",2908
"387.18397_268",2891
"387.19644_555.3",2898
"387.25273_365",2898
"387.28578_381.3",2903
"388.18748_268.6",2897
"388.21019_573.5",2902
"388.25232_487.7",2902
"388.28876_380.7",2896
"389.0907_233.4",2900
"389.11856_555.3",2901
"389.17604_542",2895
"389.19217_555.3",2890
"389.21181_588.1",2898
"390.05811_202.5",2895
"390.17893_542",2892
"390.87232_948.8",70
"391.06091_333.4",2893
"391.17645_301.3",2895
"391.20742_588.1",2897
"391.22482_494.3",2899
"391.26192_555.9",2896
"391.28506_425.6",2897
"391.28475_546.8",2890
"391.88696_955.5",117
"392.17908_301.3",2881
"392.2287_494.3",2890
"392.2881_425.6",2857
"392.86943_948.2",44
"393.15526_240.1",2898
"393.1711_469.6",152
"393.17098_468.6",151
"393.21211_572.3",232
"393.26362_340.1",2894
"393.29114_425.6",2900
"393.29975_544.4",2897
"393.78515_962.7",79
"393.89288_947",125
"394.15837_238.9",2882
"394.17478_468",156
"394.29534_368.6",2899
"394.89027_21.8",136
"394.97515_321.3",30
"395.1627_263.7",2898
"395.18916_326.8",2901
"395.21997_571.1",2894
"395.24293_387.4",2891
"395.24684_504.2",2897
"395.29867_368.6",2898
"395.78004_962.1",62
"395.97843_321.3",36
"396.13793_241.9",2896
"396.1455_446.7",163
"396.19251_326.8",2899
"396.21755_583.8",2899
"396.78336_964",81
"396.8906_944",54
"397.00299_102.6",2900
"397.14991_231.6",2902
"397.16846_295.9",2898
"397.17796_270.4",2892
"397.20486_309.2",2896
"397.22272_414.1",2897
"397.22591_438.9",2901
"397.26976_315.9",2899
"397.33191_633.5",2898
"397.36786_622",2900
"397.83195_950",107
"397.89331_944",65
"398.00602_102.6",2898
"398.15299_232.2",2893
"398.20827_309.2",2897
"398.22943_438.9",2896
"398.88636_944",56
"398.93595_347.4",2899
"399.00114_102.5",2901
"399.14729_555.3",2897
"399.20633_309.2",2901
"399.2205_317.1",2900
"399.25073_605.1",2896
"399.27445_528.1",2901
"399.3262_574.7",2899
"399.34597_587.5",2898
"399.83026_949.4",94
"400.16342_588.1",2891
"400.20659_308.6",2897
"400.24869_484.1",2903
"400.32939_574.7",2896
"401.12252_415.3",2894
"401.16284_588.1",2898
"401.23267_522.6",162
"401.29012_554.7",2895
"401.85798_26.7",2898
"402.21278_303.1",2892
"402.91038_949.4",328
"403.06149_343.1",2901
"403.16336_588.1",2896
"403.66697_251.6",2879
"405.1193_278.9",2895
"405.84988_947",102
"405.93873_954.3",70
"407.18682_489.9",41
"407.20312_532.3",2896
"407.20684_270.4",2901
"407.2192_573.5",2897
"407.27969_369.2",2900
"407.85938_950.6",39
"408.2102_270.4",2902
"408.22243_573.5",2895
"408.28334_369.2",2819
"408.84649_946.4",2897
"408.85822_29.5",2900
"409.14428_381.9",2816
"409.19004_571.7",2898
"409.26177_525.7",2898
"409.28633_369.2",2662
"409.78151_950.6",2906
"410.16077_468.6",149
"410.164_316.5",2899
"410.19375_571.7",2901
"410.22099_344.4",2900
"410.28932_369.2",50
"410.37101_617.2",2899
"410.84294_946.4",2698
"411.03254_33",2899
"411.08659_329.8",27
"411.12912_240.7",2897
"411.18461_269.8",2894
"411.19617_547.4",2896
"411.20188_405",2900
"411.20531_599",2902
"411.29195_368.9",47
"411.38369_638.4",2898
"411.84567_946.4",137
"412.04857_956.1",22
"412.13235_240.1",2889
"412.20905_598.4",2877
"412.2851_542.6",2900
"412.38714_639",2897
"412.83211_960.3",89
"412.96667_367.4",2898
"413.1633_264.3",2885
"413.19998_283.1",2901
"413.21184_571.7",2898
"413.22136_629.9",2900
"413.36259_603.8",2893
"414.20291_283.1",2894
"414.30008_555.3",2895
"414.36623_603.8",2900
"415.19146_555.3",2897
"415.20742_571.7",2900
"415.22497_479.9",2898
"415.22763_599.6",2898
"415.31671_428",2898
"416.21076_572.3",2896
"416.22771_479.2",2893
"416.2307_599",2903
"416.84694_952.4",49
"417.21144_343.1",91
"417.22304_599",2901
"417.24009_505.8",2896
"417.24318_629.9",2897
"417.2854_513.6",2898
"417.30055_551.1",2897
"418.21046_588.1",2859
"418.22609_599.6",2898
"418.84529_955.5",26
"418.88832_948.5",117
"418.97283_388.6",2894
"419.04956_460.7",2883
"419.23867_629.9",2902
"419.25598_537.8",2899
"419.8269_27.7",2887
"420.24212_629.9",2898
"420.2499_345",2897
"420.84022_956.1",46
"421.18699_437.1",2895
"421.25274_345",2903
"421.36784_622",2903
"421.83958_954.9",56
"422.1811_263.7",2895
"422.25607_345",2904
"422.32704_408.6",2896
"423.14727_547.4",2891
"423.34701_592.3",2898
"423.83529_950.6",2750
"423.91066_949.4",60
"424.24658_441.3",2899
"424.35052_592.9",2894
"424.98567_350.4",52
"425.07987_391",2898
"425.11714_291.6",2902
"425.16262_571.7",2898
"425.19964_352.2",2897
"425.25715_483.8",2896
"425.3626_602.6",2900
"425.39918_652.9",2901
"425.83236_950",114
"426.10072_956.1",44
"426.11871_292.2",2884
"426.18041_599.6",2899
"426.20279_352.2",2883
"426.26043_484.1",2890
"426.36625_602.6",2897
"426.40223_652.9",2896
"426.98161_345",29
"427.11363_588.1",2898
"427.1323_311",2902
"427.1632_572.3",2897
"427.16975_496.1",167
"427.17819_599",2901
"427.17915_280.1",2897
"427.21565_334.1",2897
"428.17333_495.9",54
"428.18071_280.1",2896
"428.18134_599",2892
"428.219_297.1",2900
"428.38122_620.8",2887
"429.04681_415.3",2717
"429.1116_588.1",2898
"429.17676_342.5",2899
"429.19429_629.9",2897
"429.30034_434",2901
"429.33717_618.4",2897
"430.11279_588.1",2900
"430.2951_369.8",2901
"430.30345_434",2899
"430.33925_618.4",2905
"430.97186_948.2",49
"431.04554_414.7",55
"431.11198_588.1",2896
"431.16389_541.4",2896
"431.21113_446.2",2445
"431.22675_271",2905
"431.25877_588.1",2898
"431.31502_432.8",2901
"431.31549_386.8",2886
"431.31601_562",2900
"431.92617_938.5",117
"431.94243_950.6",26
"431.97653_361.3",66
"432.11381_588.1",2893
"432.31188_417.7",2898
"433.01461_32.4",2903
"433.11256_588.1",2898
"433.11102_240.1",2900
"433.22301_429.8",2892
"433.33146_591.7",2901
"433.36761_651.1",2894
"433.96446_349.2",2874
